id,titre,entreprise,secteur,lieu,teletravail,salaire_min,salaire_max,hard_skills,rare_skill_recherche,autonomie_score,progression_score,avantages,source,date_publication
1,Data Analyst - Santé,Groupe Hospitalier Paris,Santé,Paris,Hybride,40000,50000,"SQL,Excel,Power BI","Connaissance réglementation HAS",4,3,"Tickets restaurant, RTT, formation continue",LinkedIn,2026-06-01
2,Business Analyst MOA,LVMH,Luxe,Paris,Hybride,45000,58000,"Excel,SQL,Airtable","Gestion multi-sites internationale",5,4,"Mutuelle premium, intéressement, remote 3j/sem",WTTJ,2026-06-03
3,Product Manager Data,Qonto,FinTech,Paris,Full Remote,52000,65000,"SQL,Notion,Figma","IA appliquée aux produits data",5,5,"Full remote, BSPCE, budget formation 2000€",WTTJ,2026-06-05
4,Chargée de Mission SI,CHU Bordeaux,Santé publique,Bordeaux,Présentiel,35000,42000,"Excel,Power BI,gestion projet","Normes HAS et déploiement terrain",3,2,"Statut fonctionnaire, 75% transport",LinkedIn,2026-06-07
5,Data Project Manager,L'Oréal,Cosmétique,Clichy,Hybride,48000,60000,"SQL,Airtable,Python","Formulation et reverse engineering données",4,4,"Produits offerts, intéressement, crèche",LinkedIn,2026-06-08
6,Analyste Business Intelligence,Capgemini,Conseil,Lyon,Hybride,42000,52000,"Power BI,SQL,DAX","Pilotage performance commerciale multi-activités",4,3,"Véhicule de fonction, tickets restaurant",WTTJ,2026-06-10
7,Consultant Data & IA,Wavestone,Conseil,Paris,Hybride,50000,68000,"Python,SQL,LLM API","Orchestration IA sur cas métier complexes",5,5,"Primes mission, formation certifiante, remote",LinkedIn,2026-06-11
8,Chef de Projet Digital,Orange Afrique,Telecom,Paris,Hybride,44000,56000,"Airtable,Excel,gestion projet","Déploiement terrain Afrique francophone",4,4,"Mutuelle famille, mobilité internationale",WTTJ,2026-06-12
9,Data Manager,Sephora,Retail beauté,Paris,Hybride,46000,57000,"SQL,Excel,Notion","Données cosmétique et expérience client",3,3,"Réductions produits, intéressement",LinkedIn,2026-06-14
10,Responsable Données Qualité,Ramsay Santé,Santé privée,Paris,Hybride,43000,54000,"Excel,Power BI,SQL","Conformité données médicales et RGPD",4,3,"Mutuelle premium, épargne salariale",WTTJ,2026-06-15
11,Product Owner No-Code,Doctolib,HealthTech,Paris,Full Remote,50000,62000,"Notion,Airtable,Make","Automatisation no-code en environnement médical",5,5,"Full remote, stock-options, budget équipement",WTTJ,2026-06-16
12,Analyste Marché & Data,Agence BPI France,Finance publique,Paris,Hybride,38000,46000,"Excel,SQL,Power BI","Analyse intelligence économique Afrique",3,3,"Statut quasi-fonctionnaire, formation",LinkedIn,2026-06-17
13,Data Analyst Marketing,Decathlon,Sport/Retail,Villeneuve d'Ascq,Hybride,39000,48000,"SQL,Excel,Google Analytics","Scoring comportemental et segmentation",3,3,"Tickets sport, mutuelle, intéressement",LinkedIn,2026-06-18
14,Business Intelligence Manager,Alan,InsurTech,Paris,Full Remote,55000,70000,"SQL,dbt,Power BI","IA appliquée à la donnée santé",5,5,"Full remote, BSPCE, équipe data-driven",WTTJ,2026-06-20
15,Coordinatrice Projets Internationaux,AFD,Développement,Paris,Hybride,42000,52000,"Excel,Airtable,gestion projet","Coordination terrain Afrique centrale",4,4,"Mobilité internationale, formation diplômante",LinkedIn,2026-06-22
